draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
6,countdown,player_00022,occasional_player,0.668300191,0.731682448,1.0,0.668300191,20,,0.437770449,0.393993404,0.718006239,1.074376828,-0.122104602,lost,-0.668300191,0.0
7,bootstrap,player_00017,occasional_player,0.510139272,0,1.5,0.765208908,0,,0.313623778,0.2822614,1.613965846,3.163774942,0.089413612,won,1.613965846,0.083734276
7,countdown,player_00012,occasional_player,1.463421407,0.510139272,1.0,1.463421407,0,,0.599788823,0.53980994,0.708347817,0.484035435,-0.291078791,lost,-1.463421407,0.0
7,countdown,player_00023,occasional_player,0.159563012,1.973560679,1.0,0.159563012,0,,0.065397507,0.058857756,1.947013293,12.202159312,-0.035574658,lost,-0.159563012,0.0
7,countdown,player_00024,occasional_player,0.051701102,2.133123691,1.0,0.051701102,0,,0.021189893,0.019070904,2.049482107,39.640975297,-0.011629639,lost,-0.051701102,0.0
8,bootstrap,player_00023,occasional_player,0.082310385,0,1.5,0.123465578,0,,0.085071779,0.076564601,1.231083589,14.956601033,0.018249101,lost,-0.082310385,0.0
8,bootstrap,player_00003,persistent_player,0.073601094,0.082310385,1.374736845,0.101182136,10,,0.069717766,0.06274599,1.239357416,16.838845028,0.008781787,won,1.239357416,0.064018891
8,bootstrap,player_00001,persistent_player,0.051507198,0.155911479,1.26272783,0.065039572,20,,0.04481437,0.040332933,1.260346617,24.469329839,0.001403714,lost,-0.051507198,0.0
8,bootstrap,player_00025,occasional_player,0.081712846,0.207418677,1.184342166,0.096775969,30,,0.066681775,0.060013597,1.231651251,15.072920742,-0.002893142,lost,-0.081712846,0.0
8,countdown,player_00015,occasional_player,0.084450727,0.289131523,1.0,0.084450727,30,,0.058189284,0.052370356,1.229050264,14.553459846,-0.015662213,lost,-0.084450727,0.0
8,countdown,player_00022,occasional_player,0.918613767,0.37358225,1.0,0.918613767,30,,0.632954614,0.569659152,0.436595376,0.475276326,-0.146606475,lost,-0.918613767,0.0
8,countdown,player_00026,occasional_player,0.061782893,1.292196017,1.0,0.061782893,30,,0.042570413,0.038313371,1.250584707,20.241601614,-0.011501666,lost,-0.061782893,0.0
9,bootstrap,player_00004,persistent_player,0.284849221,0,1.5,0.427273831,0,,0.185731357,0.167158221,2.702684517,5.377653007,0.033208845,won,2.702684517,0.14098283
9,bootstrap,player_00005,persistent_player,0.095634766,0.284849221,1.084780858,0.103742764,10,,0.029873236,0.026885913,3.089279604,32.3028929,-0.010005437,lost,-0.095634766,0.0
9,countdown,player_00021,occasional_player,0.143387609,0.380483987,1.0,0.143387609,10,,0.041289163,0.037160247,3.043914403,21.228573543,-0.024946679,lost,-0.143387609,0.0
9,countdown,player_00017,occasional_player,0.869639244,0.523871596,1.0,0.869639244,10,,0.250416873,0.225375186,2.35397535,2.706841217,-0.143116507,lost,-0.869639244,0.0
9,countdown,player_00004,persistent_player,0.217727742,1.39351084,1.0,0.217727742,10,,0.185731357,0.167158221,2.702684517,5.377653007,0.033208845,winner_wallet_merged,0.0,0.0
9,countdown,player_00027,player_whale,0.794239642,1.611238582,1.0,0.794239642,10,,0.228705189,0.20583467,2.425604971,3.053996355,-0.131483989,lost,-0.794239642,0.0
9,countdown,player_00012,occasional_player,0.916755336,2.405478224,1.0,0.916755336,10,,0.263984182,0.237585764,2.309215062,2.518900051,-0.150310695,lost,-0.916755336,0.0
10,bootstrap,player_00017,occasional_player,0.254138914,0,1.5,0.381208371,0,,0.175696091,0.158126482,1.715242946,6.749233792,0.057272511,lost,-0.254138914,0.0
10,bootstrap,player_00016,opportunistic_player,0.046529831,0.254138914,1.129287174,0.052545541,10,,0.024217847,0.021796063,1.912471575,41.1020529,-0.003831314,won,1.912471575,0.09939356
10,bootstrap,player_00008,persistent_player,0.036099454,0.300668745,1.061414037,0.038316467,20,,0.017659773,0.015893796,1.922380433,53.252340973,-0.004971774,lost,-0.036099454,0.0
10,countdown,player_00025,occasional_player,0.123690587,0.336768199,1.0,0.123690587,20,,0.057008068,0.051307261,1.839168857,14.869109296,-0.022981645,lost,-0.123690587,0.0
10,countdown,player_00011,occasional_player,0.500086611,0.460458786,1.0,0.500086611,20,,0.230486184,0.207437565,1.481592634,2.962672068,-0.089011893,lost,-0.500086611,0.0
10,countdown,player_00004,persistent_player,0.836378545,0.960545397,1.0,0.836378545,20,,0.385480624,0.346932562,1.162115297,1.389460913,-0.143035957,lost,-0.836378545,0.0
10,countdown,player_00028,occasional_player,0.189394676,1.796923942,1.0,0.189394676,20,,0.087290591,0.078561532,1.776749972,9.381203368,-0.03493134,lost,-0.189394676,0.0
10,countdown,player_00010,occasional_player,0.048082406,1.986318618,1.0,0.048082406,20,,0.022160822,0.01994474,1.910996629,39.744197263,-0.009009085,lost,-0.048082406,0.0
11,bootstrap,player_00017,occasional_player,0.882710982,0,1.5,1.324066473,0,,0.857722332,0.771950099,0.232629561,0.263539897,-0.02172374,won,0.232629561,0.010981706
11,countdown,player_00029,occasional_player,0.219634121,0.882710982,1.0,0.219634121,0,,0.142277668,0.128049901,0.862552579,3.927224855,-0.081060221,lost,-0.219634121,0.0
12,bootstrap,player_00015,occasional_player,0.031625201,0,1.5,0.047437802,0,,0.040171552,0.036154397,1.005145045,31.783040524,0.005858602,lost,-0.031625201,0.0
12,bootstrap,player_00028,occasional_player,0.096460024,0.031625201,1.453803618,0.140233932,10,,0.272578589,0.24532073,0.812112891,3.4584936,0.022016649,won,0.812112891,0.041481712
12,bootstrap,player_00028,occasional_player,0.138356918,0.128085225,1.312900036,0.181648803,20,,0.272578589,0.24532073,0.812112891,3.4584936,0.022016649,winner_wallet_merged,0.0,0.0
12,bootstrap,player_00020,opportunistic_player,0.122305276,0.266442143,1.110795739,0.135856179,30,,0.115046511,0.10354186,0.918998974,7.513976533,-0.014486697,lost,-0.122305276,0.0
12,countdown,player_00004,persistent_player,0.675703764,0.388747419,1.0,0.675703764,30,,0.572203348,0.514983013,0.39327041,0.582016012,-0.125200223,lost,-0.675703764,0.0
13,bootstrap,player_00001,persistent_player,0.032797562,0,1.5,0.049196343,0,,0.077385416,0.069646875,0.480981509,14.665160446,0.002985545,lost,-0.032797562,0.0
13,bootstrap,player_00028,occasional_player,0.17048996,0.032797562,1.451785875,0.247514916,10,,0.389338793,0.350404913,0.350173731,2.05392582,0.011953156,won,0.350173731,0.017177108
13,bootstrap,player_00004,persistent_player,0.140564988,0.203287522,1.201156749,0.168840584,20,,0.265584758,0.239026282,0.378602454,2.693433547,-0.016470324,lost,-0.140564988,0.0
13,countdown,player_00030,occasional_player,0.095424648,0.34385251,1.0,0.095424648,20,,0.150102135,0.135091921,0.421485777,4.416948724,-0.025594226,lost,-0.095424648,0.0
13,countdown,player_00031,occasional_player,0.074754961,0.439277158,1.0,0.074754961,20,,0.117588898,0.105830008,0.44112198,5.900905759,-0.0201597,lost,-0.074754961,0.0
14,bootstrap,player_00003,persistent_player,0.132610235,0,1.5,0.198915352,0,,0.089322922,0.080390629,1.802172255,13.589993673,0.022928147,lost,-0.132610235,0.0
14,bootstrap,player_00024,occasional_player,0.076039447,0.132610235,1.304919488,0.099225356,10,,0.044557138,0.040101424,1.855914503,24.407259344,0.001434657,lost,-0.076039447,0.0
14,bootstrap,player_00016,opportunistic_player,0.688096958,0.208649682,1.193059236,0.820940431,20,,0.368643229,0.331778906,1.274459868,1.85215158,-0.036962,won,1.274459868,0.065824624
14,countdown,player_00032,occasional_player,0.042288476,0.89674664,1.0,0.042288476,20,,0.018989636,0.017090673,1.887977926,44.645210807,-0.009298924,lost,-0.042288476,0.0
14,countdown,player_00033,occasional_player,0.093985828,0.939035116,1.0,0.093985828,20,,0.042204328,0.037983895,1.838865441,19.565348101,-0.020568608,lost,-0.093985828,0.0
14,countdown,player_00034,occasional_player,0.971568492,1.033020944,1.0,0.971568492,20,,0.436282747,0.392654472,1.005161911,1.03457648,-0.195396459,lost,-0.971568492,0.0
15,bootstrap,player_00011,occasional_player,0.224583625,0,1.5,0.336875438,0,,0.690126773,0.621114095,0.149473221,0.665557079,0.007748355,lost,-0.224583625,0.0
15,bootstrap,player_00010,occasional_player,0.021184545,0.224583625,1.169387673,0.024772946,10,,0.050750133,0.04567512,0.342702347,16.176998249,-0.004563968,lost,-0.021184545,0.0
15,bootstrap,player_00026,occasional_player,0.111128994,0.24576817,1.138201643,0.126487204,20,,0.259123094,0.233210785,0.257255121,2.31492351,-0.025217845,won,0.257255121,0.012288409
16,bootstrap,player_00024,occasional_player,0.062799483,0,1.5,0.094199225,0,,0.064155903,0.057740313,1.246731255,19.852571953,0.012813231,lost,-0.062799483,0.0
16,bootstrap,player_00020,opportunistic_player,0.069313196,0.062799483,1.407487347,0.097557446,10,,0.066443074,0.059798766,1.240543228,17.897648631,0.009014602,lost,-0.069313196,0.0
16,bootstrap,player_00005,persistent_player,0.191575605,0.132112679,1.30537906,0.250078783,20,,0.170320193,0.153288173,1.124393939,5.869191638,0.010146963,won,1.124393939,0.05792817
16,countdown,player_00029,occasional_player,0.210549183,0.323688284,1.0,0.210549183,20,,0.14339792,0.129058128,1.10636904,5.25468218,-0.040590182,lost,-0.210549183,0.0
16,countdown,player_00035,occasional_player,0.242485705,0.534237467,1.0,0.242485705,20,,0.165148804,0.148633924,1.076029344,4.437495992,-0.046509639,lost,-0.242485705,0.0
16,countdown,player_00036,opportunistic_player,0.455547619,0.776723172,1.0,0.455547619,20,,0.310258061,0.279232255,0.873620526,1.917737003,-0.084401001,lost,-0.455547619,0.0
16,countdown,player_00032,occasional_player,0.028262313,1.232270791,1.0,0.028262313,20,,0.019248505,0.017323654,1.279541566,45.273773819,-0.005606371,lost,-0.028262313,0.0
16,countdown,player_00037,occasional_player,0.089605893,1.260533104,1.0,0.089605893,20,,0.06102754,0.054924786,1.221265165,13.629295178,-0.01760658,lost,-0.089605893,0.0
17,bootstrap,player_00009,occasional_player,0.021470863,0,1.5,0.032206294,0,,0.011065751,0.009959176,2.16224687,100.706099707,0.000277165,lost,-0.021470863,0.0
17,bootstrap,player_00008,persistent_player,0.027080523,0.021470863,1.46834818,0.039763637,10,,0.013662376,0.012296138,2.156917693,79.648302696,-0.000225779,lost,-0.027080523,0.0
17,bootstrap,player_00027,player_whale,1.434320199,0.048551386,1.428426738,2.048821323,20,,0.703953887,0.633558498,0.820040001,0.57172729,-0.006051136,lost,-1.434320199,0.0
17,countdown,player_00007,persistent_player,0.115779641,1.482871585,1.0,0.115779641,20,,0.039780691,0.035802622,2.072653531,17.901709774,-0.037427995,lost,-0.115779641,0.0
17,countdown,player_00006,persistent_player,0.539963185,1.598651226,1.0,0.539963185,20,,0.185525784,0.166973206,1.669679164,3.092209266,-0.171012118,won,1.669679164,0.086628267
17,countdown,player_00038,occasional_player,0.13391412,2.138614411,1.0,0.13391412,20,,0.046011511,0.04141036,2.055425776,15.348835328,-0.043252767,lost,-0.13391412,0.0
18,bootstrap,player_00025,occasional_player,0.047327531,0,1.5,0.070991296,0,,0.070116047,0.063104442,0.795515475,16.808725459,0.005859606,lost,-0.047327531,0.0
18,bootstrap,player_00033,occasional_player,0.300061428,0.047327531,1.430182042,0.429142466,10,,0.423851582,0.381466424,0.555418273,1.85101523,0.026275354,lost,-0.300061428,0.0
18,countdown,player_00039,opportunistic_player,0.512349108,0.347388959,1.0,0.512349108,10,,0.506032372,0.455429135,0.353744977,0.690437383,-0.117904628,lost,-0.512349108,0.0
19,bootstrap,player_00008,persistent_player,0.019033146,0,1.5,0.028549719,0,,0.119562805,0.107606524,0.315305703,6.869015156,-0.007034236,won,0.315305703,0.015336471
19,bootstrap,player_00031,occasional_player,0.105834959,0.019033146,1.472142064,0.155804095,10,,0.336135875,0.302522287,0.258369969,2.441253544,0.004345149,lost,-0.105834959,0.0
19,bootstrap,player_00040,occasional_player,0.059665953,0.124868105,1.317236326,0.078594161,20,,0.169561121,0.152605009,0.302230524,5.065376639,-0.004438738,lost,-0.059665953,0.0
19,bootstrap,player_00007,persistent_player,0.141228503,0.184534058,1.229906028,0.173697787,30,,0.374740199,0.337266179,0.224746102,1.591365037,-0.017797646,lost,-0.141228503,0.0
19,countdown,player_00008,persistent_player,0.026869461,0.325762561,1.0,0.026869461,30,,0.119562805,0.107606524,0.315305703,6.869015156,-0.007034236,winner_wallet_merged,0.0,0.0
20,bootstrap,player_00023,occasional_player,0.084969355,0,1.5,0.127454032,0,,0.203889438,0.183500494,0.43449552,5.113555592,0.010352706,lost,-0.084969355,0.0
20,bootstrap,player_00007,persistent_player,0.121852573,0.084969355,1.376697122,0.167754087,10,,0.268357823,0.24152204,0.399456463,3.278194735,0.004055049,lost,-0.121852573,0.0
20,bootstrap,player_00028,occasional_player,0.098976194,0.206821928,1.199871337,0.118758698,20,,0.189979429,0.170981486,0.421189023,4.255457866,-0.010037572,lost,-0.098976194,0.0
20,countdown,player_00041,occasional_player,0.211146643,0.305798122,1.0,0.211146643,20,,0.337773311,0.30399598,0.314627097,1.490088084,-0.05131354,won,0.314627097,0.015289906
21,bootstrap,player_00008,persistent_player,0.050284317,0,1.5,0.075426476,0,,0.092269485,0.083042536,0.637453974,12.676993778,0.006827215,lost,-0.050284317,0.0
21,bootstrap,player_00023,occasional_player,0.097827405,0.050284317,1.426979036,0.139597656,10,,0.170770324,0.153693292,0.59228804,6.054418393,0.00823871,lost,-0.097827405,0.0
21,bootstrap,player_00026,occasional_player,0.191732938,0.148111722,1.284917817,0.246361068,20,,0.301374398,0.271236958,0.503077784,2.623846424,-0.003274591,lost,-0.191732938,0.0
21,countdown,player_00042,occasional_player,0.028630851,0.33984466,1.0,0.028630851,20,,0.035024225,0.031521803,0.658024766,22.983066987,-0.006986228,lost,-0.028630851,0.0
21,countdown,player_00009,occasional_player,0.043665757,0.368475511,1.0,0.043665757,20,,0.053416481,0.048074833,0.643741606,14.742481293,-0.010618763,lost,-0.043665757,0.0
21,countdown,player_00043,occasional_player,0.283776708,0.412141268,1.0,0.283776708,20,,0.347145087,0.312430579,0.415636202,1.464659327,-0.065258728,lost,-0.283776708,0.0
22,bootstrap,player_00001,persistent_player,0.03259739,0,1.5,0.048896085,0,,0.116969274,0.105272347,0.264956354,8.128146285,-0.001273209,lost,-0.03259739,0.0
22,bootstrap,player_00014,occasional_player,0.014047687,0.03259739,1.452663316,0.02040656,10,,0.048816598,0.043934938,0.282578572,20.115665466,-0.001015431,lost,-0.014047687,0.0
22,bootstrap,player_00044,occasional_player,0.243476369,0.046645077,1.432263802,0.34872239,30,,0.834214128,0.750792715,0.064621324,0.265411073,-0.012158865,won,0.064621324,0.002332254
22,bootstrap,player_00026,occasional_player,0.114411359,0.046645077,1.432263802,0.163867248,20,30,0.0,0.0,0.0,0.0,0.0,pending_withdrawn,0.0,0.0
23,bootstrap,player_00003,persistent_player,0.25988749,0,1.5,0.389831235,0,,0.456820254,0.411138228,0.416424616,1.602326513,0.018170271,lost,-0.25988749,0.0
23,bootstrap,player_00045,occasional_player,0.412986141,0.25988749,1.122378588,0.463526802,10,,0.543179746,0.488861772,0.270980897,0.656150099,-0.078620803,won,0.270980897,0.012994375
24,bootstrap,player_00017,occasional_player,1.06978188,0,1.5,1.60467282,0,,0.724570381,0.652113343,0.604323314,0.5649033,0.021924454,won,0.604323314,0.030499068
24,countdown,player_00046,occasional_player,0.066811223,1.06978188,1.0,0.066811223,0,,0.03016779,0.027151011,1.557145438,23.306644726,-0.022719157,lost,-0.066811223,0.0
24,countdown,player_00047,occasional_player,0.065998106,1.136593103,1.0,0.065998106,0,,0.029800637,0.026820574,1.557917899,23.605494062,-0.022443747,lost,-0.065998106,0.0
24,countdown,player_00004,persistent_player,0.24758436,1.202591209,1.0,0.24758436,0,,0.111793689,0.10061432,1.385410958,5.595712742,-0.083281647,lost,-0.24758436,0.0
24,countdown,player_00028,occasional_player,0.229587668,1.450175569,1.0,0.229587668,0,,0.103667503,0.093300752,1.402507815,6.108811626,-0.077311931,lost,-0.229587668,0.0
25,bootstrap,player_00043,occasional_player,0.143971228,0,1.5,0.215956842,0,,0.150479432,0.135431489,1.114808493,7.743272795,0.026507183,won,1.114808493,0.057367624
25,bootstrap,player_00042,occasional_player,0.065463952,0.143971228,1.297008264,0.084907287,10,,0.059163674,0.053247307,1.189390405,18.168631269,0.001353663,lost,-0.065463952,0.0
25,bootstrap,player_00029,occasional_player,0.056444168,0.20943518,1.204707591,0.067998718,20,,0.047381728,0.042643556,1.1979592,21.223790562,-0.002951948,lost,-0.056444168,0.0
25,bootstrap,player_00039,opportunistic_player,0.326220389,0.265879348,1.125124332,0.367038497,30,,0.255753622,0.230178259,0.94167179,2.886612308,-0.034379174,lost,-0.326220389,0.0
25,countdown,player_00032,occasional_player,0.045472087,0.592099737,1.0,0.045472087,30,,0.031685099,0.028516589,1.208382677,26.574163553,-0.009716426,lost,-0.045472087,0.0
25,countdown,player_00048,occasional_player,0.334670308,0.637571824,1.0,0.334670308,30,,0.233199362,0.209879426,0.933644367,2.789743651,-0.068477152,lost,-0.334670308,0.0
25,countdown,player_00049,occasional_player,0.087758445,0.972242132,1.0,0.087758445,30,,0.061150371,0.055035334,1.168210637,13.311660626,-0.018635768,lost,-0.087758445,0.0
25,countdown,player_00050,occasional_player,0.18453376,1.060000577,1.0,0.18453376,30,,0.128583726,0.115725353,1.076274088,5.832396672,-0.038626327,lost,-0.18453376,0.0
