participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_01356,player,occasional_player,0.0,True,1,1.904324136,-0.862663813,0,2,2,0,0.0,0.0
player_01357,player,occasional_player,0.0,True,1,9.306459242,-1.08990046,0,1,1,0,0.0,0.0
player_01358,player,player_whale,0.0,True,1,43.383732657,-4.998828018,0,2,2,0,0.0,0.0
player_01359,player,opportunistic_player,0.0,True,1,12.582576121,-0.770085311,0,1,1,0,0.0,0.0
player_01360,player,occasional_player,0.0,True,1,1.747502615,-0.776432337,0,2,2,0,0.0,0.0
player_01361,player,occasional_player,0.0,True,1,2.556156871,-0.298382958,0,1,1,0,0.0,0.0
player_01362,player,occasional_player,0.0,True,1,17.335883917,10.636749857,1,2,3,0,0.655365111,0.0
player_01363,player,occasional_player,0.0,True,1,1.127093215,-0.837036073,0,4,4,0,0.0,0.0
player_01364,player,occasional_player,0.0,True,1,1.790059473,-0.619874354,0,2,2,0,0.0,0.0
player_01365,player,opportunistic_player,0.0,True,1,7.792221779,-2.954447983,0,2,2,0,0.0,0.0
player_01366,player,occasional_player,0.0,True,1,0.787762494,-0.427006793,0,2,2,0,0.0,0.0
player_01367,player,occasional_player,0.0,True,1,7.691686644,-2.097335672,0,1,1,0,0.0,0.0
player_01368,player,occasional_player,0.0,True,1,4.128051256,-0.290378666,0,1,1,0,0.0,0.0
player_01369,player,occasional_player,0.0,True,1,1.545322035,-1.021566851,0,3,3,0,0.0,0.0
player_01370,player,occasional_player,0.0,True,1,5.363522198,-0.908491375,0,1,1,0,0.0,0.0
player_01371,player,opportunistic_player,0.0,True,1,2.400282088,-1.658180628,0,4,4,0,0.0,0.0
player_01372,player,occasional_player,0.0,True,1,1.473310012,-0.180746285,0,1,1,0,0.0,0.0
player_01373,player,occasional_player,0.0,True,1,7.451069491,-0.672521951,0,1,1,0,0.0,0.0
player_01374,player,occasional_player,0.0,True,1,5.866043995,-1.696637942,0,2,2,0,0.0,0.0
player_01375,player,opportunistic_player,0.0,True,1,17.233815909,4.911430587,2,2,4,0,0.625902877,0.0
player_01376,player,occasional_player,0.0,True,1,3.215112678,-1.135745657,0,2,2,0,0.0,0.0
player_01377,player,occasional_player,0.0,True,1,3.122933369,-2.332283673,0,3,3,0,0.0,0.0
player_01378,player,occasional_player,0.0,True,1,2.24240878,-0.348845082,0,2,2,0,0.0,0.0
player_01379,player,occasional_player,0.0,True,1,14.945644897,-4.702712606,1,2,3,0,0.100590907,0.0
player_01380,player,occasional_player,0.0,True,1,0.491194207,-0.548229031,0,4,4,0,0.0,0.0
player_01381,player,occasional_player,0.0,True,1,6.53531466,-0.444270864,0,1,1,0,0.0,0.0
player_01382,player,occasional_player,0.0,True,1,2.775250788,-0.48982058,0,2,2,0,0.0,0.0
player_01383,player,occasional_player,0.0,True,1,9.685993533,7.591250392,2,2,4,0,0.560366727,0.0
player_01384,player,occasional_player,0.0,True,1,6.21891744,-2.982877572,0,2,2,0,0.0,0.0
player_01385,player,occasional_player,0.0,True,1,29.853483303,-5.146516697,1,1,2,0,0.120164822,0.0
player_01386,player,occasional_player,0.0,True,1,2.586392572,-1.451922269,0,4,4,0,0.0,0.0
player_01387,player,occasional_player,0.0,True,1,2.669208956,-1.725791083,0,4,4,0,0.0,0.0
player_01388,player,opportunistic_player,0.0,True,1,11.171999207,-1.694989659,0,1,1,0,0.0,0.0
player_01389,player,occasional_player,0.0,True,1,2.458128635,-2.966840623,0,5,5,0,0.0,0.0
player_01390,player,occasional_player,0.0,True,1,20.012493474,14.193099042,3,1,4,0,0.872825389,0.0
player_01391,player,occasional_player,0.0,True,1,4.855955669,-1.596576662,0,2,2,0,0.0,0.0
player_01392,player,occasional_player,0.0,True,1,17.95760377,-7.484977162,0,2,2,0,0.0,0.0
player_01393,player,occasional_player,0.0,True,1,1.810038055,-0.347199975,0,1,1,0,0.0,0.0
player_01394,player,occasional_player,0.0,True,1,1.40290019,-0.665229219,0,3,3,0,0.0,0.0
player_01395,player,opportunistic_player,0.0,True,1,3.434197489,-1.572431488,0,3,3,0,0.0,0.0
player_01396,player,occasional_player,0.0,True,1,2.032294762,-0.995828149,0,3,3,0,0.0,0.0
player_01397,player,occasional_player,0.0,True,1,0.818956462,-0.472251936,0,3,3,0,0.0,0.0
player_01398,player,occasional_player,0.0,True,1,16.567277165,5.10431004,1,0,1,0,0.268647897,0.0
player_01399,player,occasional_player,0.0,True,1,2.634038556,-1.279146659,0,2,2,0,0.0,0.0
player_01400,player,occasional_player,0.0,True,1,1.29866929,-0.261288186,0,1,1,0,0.0,0.0
