draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
377,156,838.633305569,8.386333056,5.502273118,0.006561,40,4,45,0,0,9,13.033956354,6.245864645,6.788091709,4.01705,0.382576,0.549131,13.169577565,0.9,True,activated,player,player_00248,13.033956354,0.599988823,11.986830946,0.0,0.0,0.587043314,119.604488704,82.594287978,-202.198776681
378,157,844.881922685,8.448819227,6.159189216,0.00729,30,3,35,0,0,9,10.85002397,7.664635572,3.185388398,4.055776,0.350422,0.550982,27.379479246,0.9,True,activated,player,player_00697,10.85002397,0.352396744,7.286955481,0.0,0.0,0.591417346,119.956885448,82.002870632,-201.95975608
379,156,834.65542128,8.346554213,4.928556797,0.0059049,50,5,55,0,0,10,9.323349912,5.159779694,4.163570218,6.299923,0.211319,0.414477,14.719994643,0.9,True,activated,player,player_00928,9.323349912,0.451301713,9.15899134,0.0,0.0,0.584258795,120.408187161,81.418611837,-201.826798998
380,153,831.360591743,8.313605917,3.976371938,0.004782969,70,7,75,0,0,9,5.147516979,4.830041532,0.317475447,3.917796,0.451336,0.503658,15.588183876,0.9,True,activated,player,player_00930,5.147516979,0.244312953,5.002272302,0.0,0.0,0.360326189,120.652500114,81.058285648,-201.710785762
381,151,826.571359807,8.265713598,3.95346519,0.004782969,70,7,75,1,3.985903242,7,6.587876379,6.587876379,0,2.191438,0.654612,0.616247,13.568818921,0.9,True,activated,player,player_00789,6.587876379,0.326479978,6.664270928,0.0,0.0,0.461151347,120.978980092,80.597134302,-201.576114394
382,151,825.466397206,8.254663972,4.386866876,0.00531441,60,6,65,0,0,11,12.718410716,5.48387976,7.234530956,6.077216,0.304242,0.456556,11.747221832,0.9,True,activated,player,player_00290,12.718410716,0.611805906,12.202138692,0.0,0.0,0.577826478,121.590785998,80.019307824,-201.610093822
383,151,828.781267786,8.287812678,4.893870508,0.0059049,50,5,55,0,0,8,7.550731841,6.456269336,1.094462505,5.07247,0.296451,0.414467,9.462073583,0.9,True,activated,player,player_00452,7.550731841,0.281626706,5.879458638,0.0,0.0,0.528551229,121.872412704,79.490756595,-201.363169299
384,150,811.270804169,8.112708042,4.311425674,0.00531441,60,6,65,1,0.060654818,10,18.343071981,9.798859007,8.544212974,5.552312,0.296225,0.487283,9.975382573,0.9,True,activated,player,player_00298,18.343071981,0.781006215,15.407007652,0.0,0.0,0.567889563,122.653418919,78.922867032,-201.576285951
385,150,810.702914606,8.107029146,4.308407676,0.00531441,60,6,65,0,0,9,6.539261087,5.616874943,0.922386144,5.980772,0.240071,0.391531,9.718987872,0.9,True,activated,player,player_00775,6.539261087,0.317396968,6.488290673,0.0,0.0,0.457748276,122.970815887,78.465118756,-201.435934643
386,150,811.086641306,8.110866413,2.290748242,0.002824295,120,12,125,0,0,13,3.396359415,3.136500682,0.259858733,7.017813,0.297054,0.421698,17.164989477,0.9,True,activated,player,player_00499,3.396359415,0.156645669,3.214012872,0.0,0.0,0.237745159,123.127461556,78.227373597,-201.354835153
387,150,810.848896147,8.108488961,4.309183482,0.00531441,60,6,65,0,0,8,7.563528866,6.190538584,1.372990282,4.722741,0.311293,0.463515,10.111819546,0.9,True,activated,player,player_00941,7.563528866,0.260452796,5.478050147,0.0,0.0,0.529447021,123.387914352,77.697926576,-201.085840929
388,152,811.634232559,8.116342326,3.882021374,0.004782969,70,7,75,0,0,13,10.862474662,4.632966888,6.229507774,5.89323,0.34202,0.487031,23.204652259,0.9,True,activated,player,player_00946,10.862474662,0.357364402,7.358067606,0.0,0.0,0.568143963,123.745278755,77.129782613,-200.875061368
389,152,808.440065873,8.084400659,4.29638197,0.00531441,60,6,65,0,0,11,7.37100798,4.397824521,2.973183459,7.12306,0.257949,0.386899,12.512088857,0.9,True,activated,player,player_00785,7.37100798,0.324948846,6.689998638,0.0,0.0,0.515970559,124.070227601,76.613812055,-200.684039656
390,150,801.470138913,8.014701389,3.105059531,0.003874205,90,9,95,1,0.615023368,10,3.800107704,3.34779589,0.452311814,6.655103,0.240068,0.395231,8.341746446,0.9,True,activated,player,player_00861,3.800107704,0.144391108,3.009438583,0.0,0.0,0.266007539,124.214618709,76.347804516,-200.562423224
391,150,816.408881917,8.164088819,3.514372536,0.004304672,80,8,85,0,0,9,3.906548105,3.906548105,0,5.288129,0.356985,0.385934,10.950488336,0.9,True,activated,player,player_00953,3.906548105,0.125598526,2.659830355,0.0,0.0,0.273458367,124.340217234,76.074346148,-200.414563382
392,149,806.881096123,8.068810961,5.882163191,0.00729,30,3,35,0,0,4,5.918970538,5.918970538,0,2.45934,0.553751,0.43189,4.857524091,0.9,True,activated,player,player_00675,5.918970538,0.210685068,4.417344238,0.0,0.0,0.414327938,124.550902303,75.660018211,-200.210920513
393,148,806.677753598,8.066777536,5.292612741,0.006561,40,4,45,0,0,5,7.163165053,7.163165053,0,3.303392,0.453808,0.386328,5.556774571,0.9,True,activated,player,player_00678,7.163165053,0.271243476,5.655047596,0.0,0.0,0.501421554,124.822145779,75.158596657,-199.980742435
394,147,805.76314935,8.057631493,5.286612023,0.006561,40,4,45,0,0,8,7.112600182,6.68870566,0.423894522,3.400886,0.455639,0.578153,26.520276795,0.9,True,activated,player,player_00267,7.112600182,0.285154742,5.915822109,0.0,0.0,0.497882013,125.10730052,74.660714644,-199.768015165
395,141,791.597319256,7.915973193,7.915973193,0.01,0,0,5,0,0,1,9.571858871,9.571858871,0,1.0,1.0,0.0,0.057890336,0.9,True,activated,player,player_00303,9.571858871,0.0,0.554118123,0.0,0.0,0.554118123,125.10730052,74.106596521,-199.213897041
396,143,798.653438973,7.98653439,5.239965213,0.006561,40,4,45,0,0,10,13.193696728,8.976308487,4.217388241,5.821805,0.240538,0.471588,14.321293221,0.9,True,activated,player,player_00957,13.193696728,0.564393939,11.282542249,0.0,0.0,0.559057407,125.67169446,73.547539113,-199.219233573
397,145,800.464636193,8.004646362,4.72666363,0.0059049,50,5,55,0,0,9,6.570184347,4.770111324,1.800073023,5.87312,0.254391,0.406924,9.861170885,0.9,True,activated,player,player_00962,6.570184347,0.257478461,5.352003655,0.0,0.0,0.459912904,125.92917292,73.087626209,-199.016799129
398,144,766.807654486,7.668076545,4.527922519,0.0059049,50,5,55,0,0,7,7.69531536,7.477529525,0.217785835,4.056832,0.344351,0.46927,10.679095334,0.9,True,activated,player,player_00556,7.69531536,0.273837607,5.739679896,0.0,0.0,0.536765358,126.203010527,72.550860851,-198.753871378
399,142,764.972340566,7.649723406,5.576648363,0.00729,30,3,35,0,0,9,21.776210234,7.42006641,14.356143824,5.215049,0.302047,0.466101,12.336164802,0.9,True,activated,player,player_00969,21.776210234,0.75993875,14.97431689,0.0,0.0,0.535480638,126.962949277,72.015380212,-198.97832949
400,141,757.338960513,7.573389605,4.96890092,0.006561,40,4,45,0,0,6,6.002113027,5.508914676,0.493198351,4.108774,0.331049,0.349838,8.743156478,0.9,True,activated,player,player_00971,6.002113027,0.283127219,5.799565063,0.0,0.0,0.420147912,127.246076496,71.595232301,-198.841308796
401,143,767.392733928,7.673927339,5.034863727,0.006561,40,4,45,0,0,10,9.012178123,6.33396558,2.678212543,6.732797,0.249277,0.363251,13.033688918,0.9,True,activated,player,player_00244,9.012178123,0.36037268,7.384255839,0.0,0.0,0.537174914,127.606449176,71.058057387,-198.664506563
402,141,757.849534323,7.578495343,3.624770829,0.004782969,70,7,75,1,0.461214743,12,8.896478619,5.613659003,3.282819616,4.965659,0.383325,0.530305,21.371038495,0.9,True,activated,player,player_00528,8.896478619,0.274311586,5.742414801,0.0,0.0,0.530494674,127.880760762,70.527562713,-198.408323475
403,139,752.808167121,7.528081671,6.097746154,0.0081,20,2,25,0,0,3,6.236701287,6.236701287,0,2.019959,0.623287,0.378919,2.219624677,0.9,True,activated,player,player_00821,6.236701287,0.1174724,2.668544684,0.0,0.0,0.43656909,127.998233162,70.090993623,-198.089226784
404,142,744.806134901,7.448061349,4.886673051,0.006561,50,4,55,1,0.323716661,8,8.369350637,7.856801423,0.512549214,4.135956,0.389994,0.506112,11.079384276,0.9,True,activated,staker,staker_00512,8.369350637,0.418467532,2.510805191,2.510805191,5.440077914,0.0,128.416700693,78.041876728,-206.458577421
405,144,748.117192442,7.481171924,6.059749259,0.0081,20,2,25,0,0,3,6.233895941,6.233895941,0,2.565735,0.525102,0.208474,2.935613069,0.9,True,activated,player,player_00678,6.233895941,0.148023271,3.248814868,0.0,0.0,0.436372716,128.564723965,77.605504012,-206.170227977
406,142,755.838521429,7.558385214,4.016835797,0.00531441,60,6,65,0,0,7,4.664546112,4.664546112,0,3.039508,0.527477,0.515645,7.954933947,0.9,True,activated,player,player_00987,4.664546112,0.110205203,2.420417087,0.0,0.0,0.326518228,128.674929168,77.278985784,-205.953914952
407,144,771.127892958,7.71127893,4.098089786,0.00531441,60,6,65,0,0,11,12.403981004,4.678181626,7.725799378,5.956799,0.31505,0.460435,14.690812967,0.9,True,activated,player,player_00992,12.403981004,0.571596965,11.400131853,0.0,0.0,0.539789525,129.246526132,76.739196259,-205.985722391
408,144,768.469541389,7.684695414,4.083962215,0.00531441,60,6,65,0,0,10,7.261665145,4.815646864,2.446018281,4.564705,0.374037,0.534994,26.620967262,0.9,True,activated,player,player_00169,7.261665145,0.227276724,4.82657432,0.0,0.0,0.50831656,129.473802857,76.230879699,-205.704682555
409,143,767.647880461,7.676478805,4.079595572,0.00531441,60,6,65,0,0,12,14.250401981,4.848554132,9.401847849,6.003478,0.306243,0.502132,20.770271988,0.9,True,activated,player,player_00995,14.250401981,0.650390857,12.894779805,0.0,0.0,0.537353516,130.124193714,75.693526183,-205.817719896
410,140,758.69744744,7.586974474,5.530904392,0.00729,30,3,35,0,0,5,10.501524464,5.928836945,4.572687519,3.496575,0.435431,0.342319,4.008241584,0.9,True,activated,player,player_01003,10.501524464,0.415127795,8.41851632,0.0,0.0,0.531088213,130.539321509,75.162437969,-205.701759478
411,139,757.145302893,7.571453029,4.023780569,0.00531441,60,6,65,0,0,7,5.338187938,5.338187938,0,2.863746,0.539825,0.555714,12.842244279,0.9,True,activated,player,player_01006,5.338187938,0.247170217,5.069907287,0.0,0.0,0.373673156,130.786491726,74.788764814,-205.57525654
412,139,757.273111557,7.572731116,4.968468885,0.006561,40,4,45,0,0,6,6.502577888,5.565158669,0.937419219,4.944351,0.304321,0.250309,5.911445265,0.9,True,activated,player,player_00789,6.502577888,0.278257933,5.742081188,0.0,0.0,0.455180452,131.06474966,74.333584362,-205.398334021
413,139,753.909491402,7.539094914,4.946400173,0.006561,40,4,45,0,0,5,6.000939243,6.000939243,0,1.894216,0.694498,0.620489,10.027465476,0.9,True,activated,player,player_00850,6.000939243,0.091664915,2.161699123,0.0,0.0,0.420065747,131.156414574,73.913518615,-205.069933189
414,139,754.131416527,7.541314165,4.453070601,0.0059049,50,5,55,0,0,6,6.695436392,6.695436392,0,4.056565,0.29137,0.37252,7.252745097,0.9,True,activated,player,player_00602,6.695436392,0.237229199,4.976035322,0.0,0.0,0.468680547,131.393643773,73.444838067,-204.83848184
415,140,758.360861303,7.583608613,4.975605611,0.006561,40,4,45,0,0,10,14.573314988,6.088225345,8.485089643,6.849527,0.226845,0.379066,12.321485689,0.9,True,activated,player,player_01014,14.573314988,0.630217459,12.504984316,0.0,0.0,0.530852603,132.023861232,72.913985464,-204.937846696
416,138,750.081386866,7.500813869,3.587616021,0.004782969,70,7,75,1,0.03630912,7,3.89186554,3.89186554,0,2.227523,0.642611,0.63856,17.687356071,0.9,True,activated,player,player_00692,3.89186554,0.069545424,1.593793646,0.0,0.0,0.272430588,132.093406656,72.641554876,-204.734961532
417,139,753.101429071,7.531014291,3.24185471,0.004304672,80,8,85,0,0,10,3.95880995,3.495613445,0.463196505,6.484577,0.268179,0.394847,8.710840438,0.9,True,activated,player,player_00212,3.95880995,0.183611182,3.765729148,0.0,0.0,0.277116697,132.277017837,72.36443818,-204.641456017
418,140,755.598237254,7.555982373,4.957480035,0.006561,40,4,45,1,1.437820762,5,5.729046465,5.500966011,0.228080454,2.177281,0.615838,0.570367,19.939949332,0.9,True,activated,player,player_01018,5.729046465,0.110044152,2.491872135,0.0,0.0,0.401033253,132.387061989,71.963404927,-204.350466916
419,141,757.139786439,7.571397864,3.259238514,0.004304672,80,8,85,0,0,9,3.959929947,3.959929947,0,5.034021,0.352652,0.449076,10.436120893,0.9,True,activated,player,player_00882,3.959929947,0.162027972,3.355726569,0.0,0.0,0.277195096,132.549089961,71.686209831,-204.235299792
420,139,749.236524029,7.49236524,3.981750076,0.00531441,60,6,65,0,0,10,5.599316242,4.348135272,1.25118097,5.277933,0.346936,0.473532,11.866302436,0.9,True,activated,player,player_00002,5.599316242,0.236496401,4.885383754,0.0,0.0,0.391952137,132.785586362,71.294257694,-204.079844056
421,140,750.283629572,7.502836296,4.430349804,0.0059049,50,5,55,0,0,10,6.966079144,4.740641043,2.225438101,6.733394,0.224375,0.387632,12.832173969,0.9,True,activated,player,player_01024,6.966079144,0.307650139,6.332978173,0.0,0.0,0.48762554,133.093236501,70.806632154,-203.899868655
