draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
30,countdown,player_00098,occasional_player,1.078200682,5.940220625,1.0,1.078200682,60,,0.095640373,0.086076336,8.486789051,7.871251792,-0.254881413,lost,-1.078200682,0.0
30,countdown,player_00010,persistent_player,2.524355727,7.018421307,1.0,2.524355727,60,,0.223919654,0.201527689,7.112941758,2.817725601,-0.582173439,lost,-2.524355727,0.0
31,bootstrap,player_00022,persistent_player,0.142077685,2.38645061,1.321574206,0.187766204,10,,0.02000115,0.018001035,7.844990184,55.21620221,0.001697804,lost,-0.142077685,0.0
31,bootstrap,player_00008,persistent_player,0.389391156,2.528528295,1.3109516,0.510472959,20,,0.054376379,0.048938741,7.610042387,19.543439212,0.00209105,lost,-0.389391156,0.0
31,bootstrap,player_00005,persistent_player,0.190274245,0.531468841,1.460264105,0.27785065,30,,0.029597086,0.026637378,7.799203452,40.989275519,0.02254449,lost,-0.190274245,0.0
31,bootstrap,player_00063,occasional_player,0.745964845,0.721743086,1.446038027,1.078693533,40,,0.114904124,0.103413712,7.271297382,9.747506778,0.08313,lost,-0.745964845,0.0
31,bootstrap,player_00099,occasional_player,1.678045595,1.467707931,1.390107231,2.332663316,50,,0.248478949,0.223631054,6.38582067,3.805510821,0.125285318,lost,-1.678045595,0.0
31,bootstrap,player_00075,occasional_player,0.807548268,3.145753526,1.264465696,1.021117083,60,,0.108770991,0.097893892,7.212793131,8.931717665,-0.022405837,lost,-0.807548268,0.0
31,countdown,player_00100,opportunistic_player,3.042521923,3.953301794,1.0,3.042521923,60,,0.324094199,0.291684779,5.089568158,1.672812321,-0.670515022,lost,-3.042521923,0.0
31,countdown,player_00101,occasional_player,0.936684708,6.995823717,1.0,0.936684708,60,,0.099777122,0.08979941,7.090113513,7.56937041,-0.215882967,won,7.090113513,0.373163869
31,bootstrap,player_00038,occasional_player,2.38645061,0,1.5,3.579675915,0,30,0.0,0.0,0.0,0.0,0.0,pending_withdrawn,0.0,0.0
32,bootstrap,player_00022,persistent_player,0.192073694,0,1.5,0.288110541,0,,0.039455186,0.035509667,5.09728058,26.538150402,-0.004250484,lost,-0.192073694,0.0
32,bootstrap,player_00025,opportunistic_player,0.243393573,0.192073694,1.485617352,0.361589716,10,,0.049517763,0.044565987,5.048526695,20.742235024,-0.007553925,lost,-0.243393573,0.0
32,bootstrap,player_00102,opportunistic_player,3.49804057,0.435467267,1.467391827,5.132996143,20,,0.702936159,0.632642543,1.956612047,0.559345156,-0.047195268,lost,-3.49804057,0.0
32,bootstrap,player_00046,occasional_player,1.260540947,3.933507837,1.205455463,1.519525971,30,,0.208090893,0.187281803,4.082236689,3.238480034,-0.259935917,lost,-1.260540947,0.0
33,bootstrap,player_00034,occasional_player,2.597762588,0,1.5,3.896643882,0,,0.394283125,0.354854813,5.601711044,2.156359888,0.311860092,lost,-2.597762588,0.0
33,bootstrap,player_00103,occasional_player,0.475299068,2.597762588,1.306757285,0.621100519,10,,0.06284625,0.056561625,7.618051388,16.027911479,-0.017526018,lost,-0.475299068,0.0
33,bootstrap,player_00104,occasional_player,0.458982648,3.073061656,1.266744424,0.58141371,20,,0.058830527,0.052947475,7.633551987,16.63146095,-0.030503376,lost,-0.458982648,0.0
33,bootstrap,player_00086,occasional_player,0.43751956,3.532044304,1.231906118,0.538983023,30,,0.054537165,0.049083449,7.653941921,17.493942261,-0.040362726,lost,-0.43751956,0.0
33,bootstrap,player_00008,persistent_player,0.911400403,3.969563864,1.198696932,1.092492867,40,,0.110544231,0.099489808,7.20375512,7.904050839,-0.104025138,lost,-0.911400403,0.0
