draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
18,429,9950.539106137,99.505391061,38.550427263,0.003874205,90,9,95,1,1.946882643,17,80.591352101,46.497818461,34.09353364,9.178818,0.211337,0.46433,29.009831667,0.9,True,activated,player,player_00098,80.591352101,3.521545027,72.550750161,0.0,0.0,5.641394647,67.168635023,419.616712217,-486.78534724
19,433,9966.748288948,99.667482889,52.967386774,0.00531441,60,6,65,0,0,14,88.645246449,54.566131139,34.07911531,5.014064,0.35584,0.519353,31.641377064,0.9,True,activated,staker,staker_00412,88.645246449,4.432262322,26.593573935,26.593573935,57.619410192,0.0,71.600897345,503.829696344,-575.430593689
20,436,10023.872313675,100.238723137,53.270967263,0.00531441,60,6,65,0,0,10,65.901424798,53.506394153,12.395030645,2.583015,0.59881,0.644161,36.698992912,0.9,True,activated,player,player_00145,65.901424798,1.321949831,29.730146533,0.0,0.0,4.613099736,72.922847177,499.216596608,-572.139443785
21,436,10015.175966059,100.151759661,47.902276175,0.004782969,70,7,75,1,1.077257562,12,59.173118516,57.848692276,1.32442624,8.010242,0.197422,0.385941,17.271624739,0.9,True,activated,player,player_00020,59.173118516,2.830091639,57.913859442,0.0,0.0,4.142118296,75.752938816,495.074478312,-570.827417128
22,442,10137.482790435,101.374827904,53.874739916,0.00531441,60,6,65,1,6.222456642,10,69.164412337,68.324309695,0.840102642,6.520573,0.227913,0.391987,14.86881241,0.9,True,activated,player,player_00170,69.164412337,2.828885927,58.590341475,0.0,0.0,4.841508864,78.581824743,490.232969448,-568.814794191
23,447,10173.943162114,101.739431621,54.06850528,0.00531441,60,6,65,1,8.086458492,11,63.633136577,61.931893647,1.70124293,5.914261,0.265004,0.467419,11.801557475,0.9,True,activated,player,player_00008,63.633136577,3.054705331,62.49372084,0.0,0.0,4.45431956,81.636530073,485.778649888,-567.415179961
24,443,10053.011314232,100.530113142,53.425823858,0.00531441,60,6,65,0,0,14,72.799489065,61.827861966,10.971627099,3.058132,0.553461,0.619011,29.015490752,0.9,True,activated,player,player_00075,72.799489065,3.49280717,71.459300463,0.0,0.0,5.095964235,85.129337243,480.682685653,-565.812022897
25,444,10108.513125854,101.085131259,48.348704917,0.004782969,70,7,75,1,2.257763629,12,70.974921221,69.937469346,1.037451875,7.327925,0.220543,0.422559,17.290233769,0.9,True,activated,player,player_00158,70.974921221,2.766093378,57.524018669,0.0,0.0,4.968244485,87.895430621,475.714441168,-563.609871789
26,446,10124.175082875,101.241750829,59.782241447,0.0059049,50,5,55,0,0,12,109.475606115,60.689231931,48.786374184,4.744119,0.325868,0.597148,35.670811223,0.9,True,activated,player,player_00011,109.475606115,5.195717867,105.805562038,0.0,0.0,7.086922558,93.091148489,468.62751861,-561.718667098
27,447,10124.240623804,101.242406238,53.804365614,0.00531441,60,6,65,0,0,12,102.370172511,76.993272203,25.376900308,6.856546,0.216731,0.440709,17.067137608,0.9,True,activated,staker,staker_00233,102.370172511,5.118508626,30.711051753,30.711051753,66.540612132,0.0,98.209657114,565.879182495,-664.088839609
28,444,10090.671920756,100.906719208,66.204898472,0.006561,40,4,45,0,0,12,89.579740195,72.24279499,17.336945205,8.069075,0.235532,0.363882,13.612895699,0.9,True,activated,staker,staker_00005,89.579740195,4.47898701,26.873922059,26.873922059,58.226831127,0.0,102.688644124,650.97993568,-753.668579804
29,445,10102.611928752,101.026119288,43.488431707,0.004304672,80,8,85,0,0,16,63.897146602,47.714962869,16.182183733,7.245562,0.265542,0.422621,24.02001418,0.9,True,activated,player,player_00060,63.897146602,3.017368206,61.802796177,0.0,0.0,4.472800262,105.70601233,646.507135418,-752.213147748
30,446,10121.72974188,101.217297419,48.411919582,0.004782969,70,7,75,0,0,16,67.876546716,54.654272718,13.222273998,8.685704,0.246048,0.343453,16.118252049,0.9,True,activated,player,player_00044,67.876546716,3.064312185,62.973289787,0.0,0.0,4.75135827,108.770324515,641.755777148,-750.526101663
31,448,10130.434125674,101.304341257,66.465778299,0.006561,40,4,45,0,0,8,72.600096071,72.600096071,0,2.576496,0.590653,0.622386,19.402750091,0.9,True,activated,player,player_00112,72.600096071,3.125633138,64.469036339,0.0,0.0,5.082006725,111.895957653,636.673770423,-748.569728076
32,452,10150.391131849,101.503911318,53.943340135,0.00531441,60,6,65,1,1.276382324,11,58.677701629,55.606062295,3.071639334,7.306086,0.223516,0.384588,16.959953305,0.9,True,activated,player,player_00175,58.677701629,2.388103968,49.481414506,0.0,0.0,4.107439114,114.284061621,632.566331309,-746.85039293
33,457,10630.179741795,106.301797418,37.065144904,0.003486784,100,10,105,0,0,20,97.184972784,48.112178016,49.072794768,6.169213,0.362489,0.50746,34.405697529,0.9,True,activated,player,player_00173,97.184972784,4.60566187,94.310523617,0.0,0.0,6.802948095,118.88972349,625.763383214,-744.653106705
34,458,10647.372905384,106.473729054,50.926054538,0.004782969,70,7,75,0,0,11,55.459668242,53.592258793,1.867409449,5.539165,0.356143,0.446185,12.674044551,0.9,True,activated,player,player_00158,55.459668242,1.785405252,37.804876569,0.0,0.0,3.882176777,120.675128743,621.881206437,-742.55633518
35,462,10891.364067453,108.913640675,64.312415682,0.0059049,50,5,55,0,0,19,168.107344438,99.060187329,69.047157109,9.842402,0.191804,0.482327,26.362535649,0.9,True,activated,player,player_00214,168.107344438,7.079188127,142.128529256,0.0,0.0,7.623954847,127.754316869,614.25725159,-742.01156846
36,461,10910.633688341,109.106336883,46.966700432,0.004304672,80,8,85,1,1.69560272,16,56.42320557,51.865181796,4.558023774,10.130155,0.204752,0.383227,19.107626828,0.9,True,activated,player,player_00059,56.42320557,2.243520738,46.576518417,0.0,0.0,3.94962439,129.997837608,610.3076272,-740.305464808
37,461,10986.467275457,109.864672755,38.307442718,0.003486784,100,10,105,1,0.521063689,17,52.445181535,46.858155616,5.587025919,10.713252,0.167481,0.414113,20.01414476,0.9,True,activated,player,player_00212,52.445181535,2.570630225,52.513136981,0.0,0.0,3.671162707,132.568467833,606.636464493,-739.204932325
38,467,11112.508914211,111.125089142,43.052136376,0.003874205,90,9,95,0,0,15,44.337470917,44.337470917,0,7.208372,0.297043,0.397489,18.986774087,0.9,True,activated,player,player_00138,44.337470917,1.558366954,32.712595083,0.0,0.0,3.103622964,134.126834786,603.532841529,-737.659676315
39,470,11111.548808598,111.115488086,53.146193494,0.004782969,70,7,75,0,0,16,82.183514452,59.522781387,22.660733065,9.590015,0.200384,0.410517,17.468432616,0.9,True,activated,player,player_00014,82.183514452,3.735190058,76.721457113,0.0,0.0,5.752846012,137.862024844,597.779995517,-735.642020361
40,471,11125.853762013,111.25853762,47.893152278,0.004304672,80,8,85,0,0,14,51.460734567,48.996911813,2.463822754,7.504887,0.241935,0.400204,18.616905758,0.9,True,activated,player,player_00182,51.460734567,2.443182169,50.022712623,0.0,0.0,3.60225142,140.305207013,594.177744097,-734.48295111
41,478,11263.214993712,112.632149937,66.508158216,0.0059049,50,5,55,0,0,12,97.400473281,74.32237364,23.078099641,2.807038,0.560941,0.671332,41.387377107,0.9,True,activated,player,player_00162,97.400473281,4.001218501,82.841184646,0.0,0.0,6.81803313,144.306425514,587.359710968,-731.666136481
42,472,11211.32134107,112.113213411,73.557479319,0.006561,40,4,45,0,0,13,135.164994895,86.143336228,49.021658667,7.746998,0.191328,0.449489,17.306671861,0.9,True,activated,player,player_00242,135.164994895,5.598440483,114.218294122,0.0,0.0,7.847924939,149.904865997,579.511786029,-729.416652026
43,476,11190.454956971,111.90454957,81.578416636,0.00729,30,3,35,0,0,7,85.169380227,84.157780873,1.011599354,2.966029,0.44199,0.586011,19.858872035,0.9,True,activated,staker,staker_00530,85.169380227,4.258469011,25.550814068,25.550814068,55.360097148,0.0,154.163335008,660.422697244,-814.586032253
44,476,10819.889274426,108.198892744,51.751194983,0.004782969,70,7,75,0,0,18,99.052084931,61.958388929,37.093696002,11.111402,0.159452,0.417569,23.958128843,0.9,True,activated,player,player_00014,99.052084931,4.560505129,93.583243394,0.0,0.0,6.933645945,158.723840137,653.489051299,-812.212891437
45,473,10895.56968229,108.955696823,42.211669342,0.003874205,90,9,95,0,0,14,78.357512398,58.423897737,19.933614661,6.915392,0.248213,0.494124,27.968752823,0.9,True,activated,player,player_00255,78.357512398,3.746600202,76.670429699,0.0,0.0,5.485025868,162.470440339,648.004025431,-810.47446577
46,475,11007.073570759,110.070735708,58.496101855,0.00531441,60,6,65,1,3.461068078,10,77.690594814,67.313983085,10.376611729,5.14276,0.319222,0.492815,15.155202473,0.9,True,activated,staker,staker_00008,77.690594814,3.884529741,23.307178444,23.307178444,50.498886629,0.0,166.35497008,721.810090505,-888.165060584
47,480,11124.022515309,111.240225153,72.984711723,0.006561,40,4,45,0,0,7,76.508307485,76.508307485,0,2.520596,0.585324,0.616462,19.832234438,0.9,True,activated,player,player_00260,76.508307485,1.586308594,35.495444801,0.0,0.0,5.355581524,167.941278673,716.454508981,-884.395787654
48,481,11105.436105043,111.05436105,47.80526096,0.004304672,80,8,85,0,0,17,78.208702803,49.948529307,28.260173496,7.722639,0.25075,0.515187,30.01865321,0.9,True,activated,player,player_00103,78.208702803,3.680586739,75.405757243,0.0,0.0,5.474609196,171.621865412,710.979899785,-882.601765197
49,483,11136.914374206,111.369143742,38.832019315,0.003486784,100,10,105,2,6.216051729,16,84.060781917,77.830444052,6.230337865,3.80488,0.484007,0.590599,35.423476611,0.9,True,activated,player,player_00068,84.060781917,4.037415573,82.595150625,0.0,0.0,5.884254734,175.659280986,705.09564505,-880.754926036
50,481,11024.963309271,110.249633093,72.334784272,0.006561,40,4,45,0,0,16,101.8506521,82.73426466,19.11638744,7.107722,0.252355,0.555778,30.301945834,0.9,True,activated,player,player_00098,101.8506521,4.145384819,85.891857199,0.0,0.0,7.129545647,179.804665804,697.966099403,-877.770765208
51,489,11218.844942214,112.188449422,53.659387574,0.004782969,70,7,75,1,12.074630153,12,64.100905984,59.311323241,4.789582743,3.908203,0.381924,0.622103,24.860430739,0.9,True,activated,player,player_00106,64.100905984,1.980960258,42.125308318,0.0,0.0,4.487063419,181.785626062,693.479035984,-875.264662047
52,485,10607.036602203,106.070366022,56.370141389,0.00531441,60,6,65,1,1.058679635,12,76.197510719,56.78080244,19.416708279,4.590395,0.413385,0.544764,14.757351627,0.9,True,activated,player,player_00242,76.197510719,2.234930482,47.7975049,0.0,0.0,5.33382575,184.020556544,688.145210234,-872.165766778
53,487,10664.933198431,106.649331984,45.909040388,0.004304672,80,8,85,1,0.589278675,15,70.675088772,58.103492637,12.571596135,5.123237,0.356295,0.600137,39.629414594,0.9,True,activated,staker,staker_00011,70.675088772,3.533754439,21.202526632,21.202526632,45.938807702,0.0,187.554310982,755.286544568,-942.84085555
54,488,10660.41082426,106.604108243,62.948659876,0.0059049,50,5,55,1,1.245826589,17,128.719452162,98.707785662,30.0116665,3.253376,0.53056,0.678094,52.3979635,0.9,True,activated,player,player_00194,128.719452162,6.395607782,128.978835443,0.0,0.0,7.462287577,193.949918765,747.824256991,-941.774175755
