case_id,changes,runs,player_profitable_rate,staker_profitable_rate,combined_profitable_rate,player_ev_per_stake,player_pnl_per_stake,staker_return_per_draw,protocol_revenue_per_day,protocol_take_per_player_sol,median_funding_minutes,activation_rate,player_profit_index,staker_profit_index,revenue_day_index,protocol_take_index,user_profit_index,revenue_index,balanced_score,pareto,rank
oat__protocol_fee_rate-0p075,"{""protocol_fee_rate"":0.075}",3,0.20328187177731533,0.5539191971870137,0.35056073500334883,-0.110098334391737,-0.10061438946824923,0.0007439490483874525,35.643947366048025,0.059745206976157116,40.0,1.0,0.985227234807896,1.2846257867242996,1.548430954120207,1.5099784131063596,1.1250103606710917,1.5290838155271924,1.3115773460999451,True,1
oat__protocol_fee_rate-0p06,"{""protocol_fee_rate"":0.06}",3,0.20327931228617577,0.577668675525379,0.3590497411088428,-0.09960733196827742,-0.08834975497314569,0.0007023961242054671,28.240048286208545,0.047717616473639174,43.333333333333336,1.0,0.9786649380321976,1.3288963992836695,1.2248947114718447,1.205479163213496,1.1404140968333227,1.215148160435474,1.1771882143063166,True,2
oat__target_risk_probability-0p85,"{""target_risk_probability"":0.85}",3,0.18726889482776515,0.8215884070546267,0.4457380170135766,-0.14246414400198468,-0.14555306317755629,0.001860462835231564,22.857639954404473,0.040944309174104236,43.333333333333336,1.0,0.9101861747093555,1.93882138906228,1.0155414546188157,1.0366163495782914,1.328415757041174,1.026024792844883,1.1674705572005013,True,3
oat__threshold_decay_factor-0p85,"{""threshold_decay_factor"":0.85}",3,0.19814952824868645,0.7531865342137739,0.4160089512690095,-0.09288091488826432,-0.1134868847885887,0.0013072925280818032,22.191736689365367,0.03967841216242844,36.666666666666664,1.0,0.9650872231557358,1.7531473643450415,1.0244070528576643,1.003547431078908,1.3007459865932907,1.0139235998212213,1.1484150178309562,True,4
oat__countdown_minutes-10,"{""countdown_minutes"":10}",3,0.14460419904638971,0.7037071602427006,0.3304032664149583,-0.10196267786354679,-0.10720956704138912,0.001513675728429318,27.013980751270328,0.04285758215107033,43.333333333333336,1.0,0.7069345390706996,1.6656671163380032,1.3023219127778978,1.0859319090553916,1.0851348373053127,1.1892152542528083,1.1359836712931297,True,5
oat__max_early_boost-0,"{""max_early_boost"":0.0}",3,0.19661420051681935,0.6882112535319704,0.39803246906285245,-0.09279607630496,-0.10087693919573973,0.0009879803500697669,23.983312698819756,0.039916223325208465,36.666666666666664,1.0,0.9513995319705161,1.6330828835928397,1.0483576583818677,1.0092568758942444,1.2464807624344985,1.0286214926387107,1.1323236738675087,True,6
oat__risk_threshold_pct_of_safe_tvl-0p005,"{""risk_threshold_pct_of_safe_tvl"":0.005}",3,0.20969884892466897,0.6905134695763347,0.4119208888974196,-0.08651307489881015,-0.09100284999553203,0.0006423973920309005,22.327609660207735,0.03843393097340031,26.666666666666668,1.0,1.0132143381130685,1.6238984507230716,1.0248027350932785,0.9698517886335214,1.2827147749644947,0.9969487276819912,1.1308407769795643,True,7
oat__risk_tvl_erosion_cap_rate-0p035,"{""risk_tvl_erosion_cap_rate"":0.035}",3,0.19901808893944384,0.7205088924812109,0.4113230258303594,-0.10685299532715006,-0.09724131792393761,0.0010062278247939549,23.2595051402269,0.03902509515797692,40.0,1.0,0.9560456568079608,1.6885702463945513,1.0119771074738853,0.986849359571982,1.2705708363883768,0.9993342586002496,1.1268207332052766,False,8
oat__threshold_decay_factor-0p95,"{""threshold_decay_factor"":0.95}",3,0.18631555965635857,0.770493084534652,0.4223261394830898,-0.0954200790622736,-0.09607510168073709,0.0009632327043855822,23.12553683384572,0.0402310339752993,43.333333333333336,1.0,0.8916781684287678,1.8317472808316915,0.9648784251873644,1.0173421224506787,1.2780176291414678,0.9907630720747427,1.1252611574269682,False,9
oat__countdown_minutes-15,"{""countdown_minutes"":15}",3,0.11190857524585895,0.7421958196877927,0.2713253170591373,-0.10871232802325619,-0.10844406821694982,0.0018253441061699596,31.158232741293705,0.043451604220084934,46.666666666666664,1.0,0.5462569239966075,1.7428060092518496,1.5220389936604917,1.1006714948182168,0.9757150453573618,1.2943202595663517,1.1237827862935679,True,10
oat__max_early_boost-0p75,"{""max_early_boost"":0.75}",3,0.18776527509997978,0.7164281378604872,0.3882229648292569,-0.09285911294854181,-0.09306961288643859,0.0010582223394729477,22.850956527010396,0.04010349245222235,40.0,1.0,0.9089916352498976,1.6712042692021176,1.0198407448820634,1.0135333073446993,1.232522089659509,1.016682134752647,1.1194119836971654,True,11
oat__target_risk_probability-0p875,"{""target_risk_probability"":0.875}",3,0.19091016616917345,0.6677197493589604,0.3710034925901182,-0.11823371869288378,-0.11504758728188945,0.0017171453920597048,22.97833463386964,0.040216053079679535,40.0,1.0,0.9248254235879082,1.5316779189444951,1.0787367762232718,1.0162030636713906,1.1901826247211342,1.047003159925073,1.1162996770450777,True,12
oat__risk_threshold_pct_of_safe_tvl-0p0075,"{""risk_threshold_pct_of_safe_tvl"":0.0075}",3,0.2128631709216396,0.6398560057664251,0.3834190350240518,-0.09089832855668491,-0.08930868664879718,0.0008197344028175272,24.219200083420542,0.03875142025699588,36.666666666666664,1.0,1.0287035514662908,1.4508434753540393,1.0567469416449393,0.978145410585498,1.2216741937678786,1.016686859913247,1.1144775008491254,True,13
oat__threshold_decay_interval_minutes-5,"{""threshold_decay_interval_minutes"":5}",3,0.2054385158949387,0.6493401665263308,0.37204409030756336,-0.09043500366570931,-0.09678981749140654,0.0011834342609949502,24.860350379555918,0.03815850697577698,30.833333333333332,1.0,0.9981805834968213,1.4626384508199224,1.0923707790343815,0.9628171376873949,1.208295204941374,1.0255502458501158,1.1131789813355002,True,14
oat__max_early_boost-1,"{""max_early_boost"":1.0}",3,0.18828805746464186,0.6652902353330798,0.36292050291697336,-0.09211540189405204,-0.09762225898460906,0.001145116805041402,25.07475736044937,0.03953942590242166,40.0,1.0,0.9135909718193855,1.482512473271305,1.1221524739615534,1.0006690807318144,1.163791223196967,1.0596713096805248,1.1105116702132536,True,15
